Month;#Commits
2020-03;571
2020-04;1704
2020-05;1120
2020-06;629
2020-07;600
2020-08;624
2020-09;544
2020-10;544
2020-11;464
2020-12;448
2021-01;449
2021-02;480
2021-03;628
2021-04;354
2021-05;307
2021-06;247
2021-07;279
2021-08;219
2021-09;281
2021-10;232
2021-11;268
2021-12;311
2022-01;275
2022-02;195
2022-03;335
2022-04;288
2022-05;182
2022-06;213
2022-07;163
2022-08;160
2022-09;131
2022-10;143
2022-11;168
2022-12;145
2023-01;98
2023-02;64
2023-03;62
2023-04;61
2023-05;47
2023-06;42
2023-07;26
2023-08;24
2023-09;32
2023-10;34
2023-11;37
2023-12;61
2024-01;28
2024-02;67
2024-03;38
2024-04;5
