Project;ncommits;nauthors;from;to;nstars;nforks;lastGHCommitDate;LongestGapStart;LongestGapEnd;LongestGapLength;NumCommitsAfterLastGap;ActivityPattern;NumberOfGapsInTimeline
movsim_movsim;2534;23;1302020322;1762103089;340;93;2026-09-02;2019-02;2020-06;17;42;declining;10
iml-wg_hepml-livingreview;877;96;1587584663;1762203246;453;136;2026-08-10;2022-02;2022-02;1;544;irregular;0
juliagpu_cuda.jl;14323;381;1378553736;1762624702;1428;282;2026-09-24;2013-10;2014-01;4;14305;rising;3
soedinglab_hh-suite;1485;98;1226577471;1755607024;628;152;2025-08-12;2023-09;2024-09;13;14;declining;6
jdblischak_workflowr;1399;31;1481147440;1754099317;907;107;2026-07-01;2024-03;2024-10;8;23;declining;6
oscaribv_pyaneti;662;5;1453285532;1762449400;53;16;2026-06-03;2019-03;2019-10;8;56;declining;9
isl-org_midas;200;41;1561385316;1755784085;5418;726;2024-08-23;2024-10;2025-06;9;10;irregular;5
covid-projections_covid-data-model;14427;69;1584466828;1712160037;149;53;2026-02-15;N/A;N/A;0;0;declining;0
hive-researchgroup_volumetric-data-interaction;1589;10;1630482898;1727767776;3;1;2024-10-01;2023-01;2023-02;2;1284;irregular;0
antsx_antspy;2517;65;1503943258;1773735351;888;179;2026-08-19;2017-12;2018-04;5;1966;U-shaped;1
